보드게임이름,보드게임장르,보드게임간략소개,보드게임플레이인원수,게임규칙
듄,"전략, 정치",듄 행성에서 자원을 확보하고 정치적 우위를 차지하기 위한 전략 게임,2-6명,"1. 자원 관리 및 배치: 각 플레이어는 스파이스(자원)를 모아 자신의 세력을 강화하고, 지도 위에 배치하여 행성의 중요한 거점을 차지합니다.
2. 카드와 전투: 전략 카드를 이용해 전투 시 방어 및 공격 전략을 결정하며, 상대와의 전투에서 이기면 상대의 자원을 획득하거나 지배력을 강화합니다.
3. 동맹 및 정치: 플레이어 간 동맹이 가능하며, 동맹을 통해 전력을 극대화하거나 배신할 수 있습니다. 각 진영의 특수 능력을 활용해 더 많은 지배 지역을 확보할 수 있습니다.
4. 게임 종료 및 승리 조건: 10턴이 지나거나 한 플레이어가 특정 조건을 달성할 경우 게임이 종료되며, 가장 많은 지배력을 확보한 진영이 승리합니다."
아르낙의 잊혀진 유적,"탐험, 덱 빌딩",고대의 유적을 탐험하며 보물을 찾아 점수를 획득하는 게임,1-4명,"1. 자원 관리: 탐험을 진행하기 위해 각종 자원(나침반, 화살표, 보석 등)을 모으며, 이를 활용해 유적지를 탐험하고 새로운 자원을 얻습니다.
2. 덱 빌딩: 카드 구매와 사용을 통해 자신의 덱을 강화하고, 덱에서 사용할 수 있는 카드 종류를 늘려 효율적인 탐험을 지원합니다.
3. 탐험과 유적지 정복: 탐험을 통해 위험을 제거하고 고대의 비밀을 발견하며 점수를 획득합니다. 더 위험한 유적지일수록 보상이 크지만 위험도도 증가합니다.
4. 게임 종료 및 점수 계산: 5라운드가 끝나면 보유한 유적 카드, 자원, 덱에서 획득한 점수를 합산하여 점수가 가장 높은 플레이어가 승리합니다."
꼬치의 달인,"스피드, 순발력",일본식 꼬치를 빠르게 완성해 점수를 획득하는 스피드 게임,2-4명,"1. 주문 확인: 각 차례마다 플레이어는 주문 카드를 보고 꼬치 재료를 빠르게 준비합니다. 꼬치에 필요한 재료가 맞으면 주문을 완료하고 점수를 획득합니다.
2. 재료 준비 및 완성: 꼬치 재료를 맞추지 못하거나 실수한 경우 점수를 잃을 수 있으며, 빠르게 주문을 완성한 플레이어가 추가 점수를 받을 수 있습니다.
3. 순발력 테스트: 주문을 놓친 경우 벌점이 있으며, 여러 주문을 동시에 빠르게 처리해 더 많은 점수를 얻는 것이 중요합니다.
4. 게임 종료: 모든 주문 카드가 사용되면 게임이 종료되고, 점수가 가장 높은 플레이어가 승리합니다."
타코캣고트치즈피자,"순발력, 카드",일치하는 단어에 맞춰 빠르게 반응하여 카드를 없애는 게임,3-8명,"1. 카드 맞추기: 각 차례에 플레이어는 카드 한 장을 내며 '타코', '캣', '고트', '치즈', '피자' 순서로 단어를 외칩니다. 카드와 단어가 일치하면 모든 플레이어는 중앙의 카드를 빠르게 쳐야 합니다.
2. 스페셜 카드: 고릴라, 일각고래, 마멋 카드가 나올 때 특정 동작을 수행하며, 동작을 놓치면 페널티로 카드를 추가로 받게 됩니다.
3. 게임 종료: 자신의 손에 있는 모든 카드를 먼저 없앤 플레이어가 승리합니다. 그러나 마지막 카드까지도 순서를 놓치지 않아야 합니다."
클루,"추리, 탐정","저택에서 벌어진 살인사건의 용의자, 흉기, 장소를 추리하는 게임",3-6명,"1. 준비: 용의자, 흉기, 장소 카드 각각 한 장씩을 무작위로 선택하여 비밀 봉투에 넣습니다. 남은 카드는 플레이어에게 나눠 줍니다.
2. 추리: 각 플레이어는 주사위를 굴려 이동하고, 방에 도착하면 특정 용의자와 흉기를 거론하며 추리를 시작합니다.
3. 반박: 추리한 내용과 일치하지 않는 카드가 있는 플레이어는 해당 카드를 제시해 오류를 증명합니다.
4. 게임 종료: 누군가 추리를 통해 비밀 봉투의 내용과 일치하는 용의자, 흉기, 장소를 맞추면 승리합니다. 틀리면 해당 플레이어는 탈락하고 게임은 계속됩니다."
다빈치 코드,"추리, 숫자 맞추기",상대의 암호 패널을 맞추는 게임,2-4명,"1. 준비: 각 플레이어는 무작위로 숫자 패널을 뽑아 오름차순으로 정렬합니다.
2. 추리: 상대방의 패널 숫자를 추리해 맞히면 그 패널을 공개하도록 하고, 틀리면 자신의 패널을 공개하며 자리를 정렬합니다.
3. 게임 종료: 가장 오래 자신의 패널을 유지한 플레이어가 승리합니다."
스플렌더,"전략, 자원 관리",자원을 모아 보석을 구매하고 명성을 쌓는 게임,2-4명,"1. 준비: 보석 토큰과 개발 카드를 테이블 중앙에 배치합니다.
2. 액션 선택: 차례에 토큰 가져오기, 카드 구매, 카드 예약 중 하나를 선택합니다.
3. 귀족 방문: 특정 조합의 보석을 모으면 귀족 타일을 획득하여 추가 점수를 얻습니다.
4. 게임 종료: 한 플레이어가 15점을 달성하면 게임이 종료되고, 가장 높은 점수를 가진 플레이어가 승리합니다."
코드777,"추리, 숫자",자신이 가진 숫자 타일을 추리하는 게임,2-5명,"1. 질문 카드 사용: 질문 카드를 사용해 상대방의 타일 정보를 추리합니다.
2. 추리 기회: 다른 플레이어들의 답변을 바탕으로 자신의 숫자를 추리해 맞추면 점수를 획득합니다.
3. 게임 종료: 먼저 3점을 획득한 플레이어가 승리합니다."
루미큐브,숫자 조합,숫자를 조합해 타일을 내려놓는 게임,2-4명,"1. 숫자 조합: 같은 숫자 세트를 만들거나 연속된 숫자를 조합하여 타일을 놓습니다.
2. 게임 종료: 자신의 타일을 먼저 모두 내려놓는 플레이어가 승리합니다."
할리갈리,"순발력, 카드",과일 카드 5개가 보일 때 종을 눌러 점수를 얻는 게임,2-6명,"1. 카드 공개: 각 플레이어는 차례에 따라 카드를 공개하며 카운트합니다.
2. 종 치기: 동일한 과일이 5개 보이면 종을 치고 그 카드를 얻습니다.
3. 게임 종료: 한 플레이어의 카드가 모두 소진되거나 남은 카드가 없으면 가장 많은 카드를 가진 플레이어가 승리합니다."
할러타우,"전략, 경제",독일의 농업 지역인 할러타우에서 자원을 관리하고 발전시키는 게임,1-4명,"1. 농장 관리: 플레이어는 농장을 확장하고 자원을 모아 농작물을 수확합니다.
2. 자원 생산: 다양한 농업 자원을 생산하고, 이를 활용하여 건물을 업그레이드합니다.
3. 시장 거래: 생산한 자원을 시장에서 판매하여 필요한 자원을 교환하거나 수익을 얻습니다.
4. 게임 종료: 정해진 라운드가 끝나고 가장 많은 점수를 획득한 플레이어가 승리합니다."
할리갈리,"파티, 카드",과일 그림이 그려진 카드를 이용하여 같은 과일이 5개가 되었을 때 종을 빠르게 눌러 점수를 얻는 게임,2-6명,"1. 준비: 모든 카드를 잘 섞은 후, 플레이어들에게 동일한 개수로 나누어 줍니다. 각 플레이어는 자신의 카드를 뒤집어 쌓아둡니다.
2. 게임 진행: 시계 방향으로 진행되며, 각 플레이어는 차례가 오면 카드 더미 맨 위의 카드를 공개해 중앙에 놓습니다. 공개된 카드에는 과일이 특정 개수만큼 그려져 있습니다.
3. 종을 누르는 타이밍: 공개된 카드들에서 특정 과일이 총 5개가 되었을 때 모든 플레이어는 종을 누를 수 있으며, 가장 먼저 종을 누른 플레이어가 해당 라운드의 승자가 되어 중앙에 놓인 모든 카드를 획득합니다. 잘못된 타이밍에 종을 누르면 패널티로 자신의 카드 더미에서 카드를 중앙에 추가로 놓습니다.
4. 게임 종료: 카드가 없어질 때까지 진행되며, 최종적으로 가장 많은 카드를 모은 플레이어가 승리합니다.
5. 주의사항: 종을 누를 때는 반드시 같은 종류의 과일이 정확히 5개일 때 누르도록 주의해야 하며, 실수로 잘못된 시점에 종을 누르면 패널티가 주어집니다."
아임 더 보스,"협상, 거래",다양한 거래를 협상하며 가장 큰 이익을 추구하는 협상 게임,3-6명,"1. 보스 역할: 차례가 되면 보스는 거래를 주도하며, 다른 플레이어들과 협상을 통해 이익을 얻습니다.
2. 거래 구성: 거래의 가치가 결정되며, 플레이어들은 POTA 카드와 사촌 토큰을 통해 참여할 수 있습니다.
3. 게임 종료: 각 플레이어가 보스 역할을 맡은 후 가장 높은 수익을 얻은 플레이어가 승리합니다."
잉카의 황금,"탐험, 모험",고대 잉카의 유적에서 보물을 찾아 모험하는 게임,3-8명,"1. 준비: 각 플레이어는 미플과 텐트를 받으며, 중앙에 사원 카드를 배치합니다.
2. 탐험 진행: 각 턴마다 플레이어는 사원에서 계속 탐험할지, 캠프로 돌아갈지 선택합니다. 돌아가는 플레이어는 보물을 안전하게 보관하지만, 남아있는 플레이어는 위험에 노출됩니다.
3. 위험 요소: 두 번째로 같은 종류의 위험 카드가 나오면 남아있던 플레이어들은 보물을 잃고 해당 라운드가 종료됩니다.
4. 게임 종료: 5라운드가 끝나고 보물 가치가 가장 높은 플레이어가 승리합니다."
라마,"카드 , 패스","마지막까지 남은 카드를 통해 점수를 얻으며, 포기하거나 더 높은 점수를 피하는 게임",2-6명,"1. 카드 놓기: 버린 카드 위에 같은 숫자 또는 +1의 카드를 놓을 수 있습니다.
2. 카드 패스: 더 이상 놓을 수 없거나 원치 않으면 차례를 패스할 수 있습니다.
3. 점수 계산: 라운드가 끝나면 남은 카드가 점수가 되며, 라운드마다 누적합니다.
4. 게임 종료: 특정 점수에 도달하면 게임이 끝나며 가장 낮은 점수의 플레이어가 승리합니다."
아그리콜라,"전략, 농장 경영",농장을 운영하며 자원을 관리하는 전략적 경영 게임,1-5명,"아그리콜라는 농장을 운영하며 자원을 관리하는 게임입니다.
1. 준비: 각 플레이어는 농장을 받고 자원을 나눠 갖습니다.
2. 턴 진행: 각 턴마다 다양한 행동을 통해 가축을 기르고, 농작물을 재배하며, 농장을 확장합니다.
3. 자원 관리: 주어진 자원으로 최대한 농장을 효율적으로 운영해, 부족한 자원을 보완하며 생산성을 높입니다.
4. 승리 조건: 게임이 끝난 후 가장 많은 점수를 획득한 플레이어가 승리합니다."
럭키 넘버스,퍼즐,숫자를 차례로 맞추어 게임 보드를 채우는 간단한 숫자 퍼즐 게임,2-4명,"1. 게임 시작: 각 플레이어는 게임 보드에 무작위로 숫자 타일을 배치하여 시작합니다.
2. 타일 선택: 자신의 차례에 타일을 선택하여 숫자 순서에 맞게 배치합니다.
3. 배치 규칙: 각 행과 열의 숫자는 오름차순이어야 하며, 교환할 수도 있습니다.
4. 게임 종료: 게임 보드가 완성되면 점수가 가장 높은 플레이어가 승리합니다."
매직 메이즈,"실시간, 협력",각 영웅이 쇼핑몰에서 장비를 훔쳐 탈출하는 협력 게임,1-8명,"1. 시작 및 탐험: 모든 플레이어는 자신의 액션을 사용하여 영웅을 조작하고 쇼핑몰을 탐험합니다.
2. 장비 훔치기: 각 영웅이 자신의 색에 맞는 장비 칸에 도달하면 자동으로 도둑질이 완료됩니다.
3. 소용돌이 및 탈출: 소용돌이로 빠르게 이동할 수 있지만, 도둑질 후에는 사용할 수 없습니다. 모든 영웅이 출구에 도착하면 게임이 끝납니다.
4. 소통 제한: 모래시계가 다 떨어지기 전에는 소통을 할 수 없으며, 일정 시간 후 모래시계를 뒤집어 시간을 연장할 수 있습니다."
마닐라,"모험, 전략",필리핀의 비밀 해상 거래를 통해 다양한 상품을 밀수하는 게임,3-5명,"1. 항구장 경매: 각 항해 전 항구장을 경매로 선정하며, 항구장은 출발지와 짐을 선택할 권한을 가집니다.
2. 공범 배치: 각 플레이어는 시계방향으로 배치된 공범들을 포트, 선박, 해적 등에 배치해 돈을 벌 수 있습니다.
3. 이동 및 배당: 주사위로 각 배를 이동시키며, 목적지에 도착한 배에 배치된 공범들이 수익을 받습니다.
4. 게임 종료: 특정 상품의 가치가 30에 도달하면 게임이 종료되며, 가장 많은 돈을 가진 사람이 승리합니다."
광기의 저택,"공포, 모험",조사자가 되어 미스터리를 해결하며 관리자와 대결하는 게임,2-5명,"1. 관리자와 조사자: 한 명이 관리자가 되어 나머지 플레이어가 조사자로서 미스터리를 풀기 위해 협력합니다.
2. 탐사 및 전투: 조사자들은 방을 탐색하며 단서를 찾고, 괴물과 맞서 싸웁니다.
3. 승리 조건: 관리자는 악마의 목표를 완수하고, 조사자는 단서를 모두 모아 관리자의 계획을 저지하면 승리합니다.
4. 특별 카드 사용: 신화 및 트라우마 카드로 게임에 다양한 이벤트와 도전을 추가합니다."
마르코폴로의 발자취,"전략, 여행",여러 도시를 여행하며 계약을 완수하고 점수를 얻는 게임,2-4명,"마르코폴로의 발자취는 도시를 여행하며 계약을 완수하는 게임입니다.
1. 준비: 각 플레이어는 캐릭터와 시작 자원을 선택하고, 주사위를 준비합니다.
2. 턴 진행: 각 라운드마다 주사위를 굴려 자원을 모으고, 계약을 완수하거나 여행을 통해 도시를 방문합니다.
3. 계약 완료: 계약을 성공적으로 완료하면 보상과 점수를 얻을 수 있습니다.
4. 승리 조건: 5라운드가 끝난 후 가장 많은 점수를 획득한 플레이어가 승리합니다."
노땡스,"전략, 점수",높은 점수 카드를 피하며 토큰을 사용해 카드를 패스하는 게임,3-7명,"1. 카드 패스: 원하는 경우 토큰을 사용해 카드를 패스할 수 있으며, 카드는 점수로 계산됩니다.
2. 연속 숫자 구성: 카드가 연속될 경우 최하위 카드의 숫자만 점수로 계산합니다.
3. 라운드 종료: 카드가 다 떨어지면 점수를 합산하여 가장 낮은 점수의 플레이어가 승리합니다."
넘버 나인,"퍼즐, 추리",타일을 쌓아 높이 올려 점수를 획득하는 게임,1-4명,"1. 게임 시작: 각 라운드마다 카드에서 숫자가 공개되면, 해당 숫자 타일을 자신의 구역에 배치합니다.
2. 배치 규칙: 첫 번째 타일은 바닥에 놓지만, 이후 타일은 이전 타일 위에 겹쳐 쌓을 수 있습니다.
3. 레벨링 규칙: 타일을 쌓을 때는 아래 타일의 경계 내에 완전히 들어가야 하며, 층이 높아질수록 더 높은 점수를 얻습니다.
4. 게임 종료 및 점수 계산: 모든 타일이 배치되면 각 층의 점수를 합산하여 가장 높은 점수를 가진 플레이어가 승리합니다."
팬데믹,"협력, 전략",각 플레이어는 팀원이 되어 전염병을 치료하고 확산을 막는 게임,2-4명,"1. 초기 설정: 각 플레이어는 역할과 개인 말을 받으며, 감염률 마커와 질병 큐브를 준비합니다.
2. 액션 수행: 각 턴에 4번의 액션을 통해 질병 치료, 연구소 이동, 지식 공유 등을 합니다.
3. 감염 관리: 턴마다 감염 카드를 뒤집어 새로운 도시의 감염 상황을 업데이트하고, 치료제를 발견해 질병을 박멸할 수 있습니다.
4. 게임 종료: 네 가지 치료제를 모두 발견하거나, 특정 조건을 충족하면 팀이 승리합니다."
쿼리도,"전략, 추상",상대의 진로를 차단하고 자신의 말을 종착점까지 이동시키는 게임,2-4명,"쿼리도는 상대방의 이동을 방해하며 자신의 말을 종착점까지 이동시키는 게임입니다.
1. 준비: 각 플레이어는 자신의 말을 시작 위치에 놓고, 벽을 나누어 받습니다.
2. 이동 및 벽 배치: 자신의 턴에 말을 이동하거나 벽을 배치할 수 있습니다. 벽은 상대방의 진로를 방해하는 데 사용하지만, 목표점에 도달할 수 있는 경로를 남겨야 합니다.
3. 승리 조건: 자신의 말을 상대편의 반대쪽 끝에 먼저 도착시키는 플레이어가 승리합니다."
캔트 스탑,"전략, 주사위",주사위를 굴려 산 정상에 베이스캠프를 세우는 게임,2-4명,"1. 주사위 굴리기: 4개의 주사위를 굴리고 조합하여 등반로의 번호를 선택합니다.
2. 등반 및 정지: 플레이어는 선택한 등반로를 오르며, 계속 진행할지 멈출지를 결정합니다.
3. 베이스캠프 세우기: 각 등반로의 정상에 도달하면 베이스캠프를 세울 수 있으며, 세 개의 베이스캠프를 먼저 세운 플레이어가 승리합니다.
4. 게임 종료: 특정 등반로가 완료되면 더 이상 그 등반로를 사용할 수 없게 됩니다."
독수리 눈치싸움,"전략, 카드",긍정 포인트를 얻고 부정 포인트를 피하면서 최고 점수를 획득하는 게임,2-5명,"1. 타일 선택 및 점수 획득: 각 라운드마다 플레이어는 카드 번호로 경쟁하여 점수를 획득하거나, 낮은 점수를 피합니다.
2. 특별 상황: 동일한 카드 숫자가 나올 경우, 다음 높은/낮은 카드가 승리하며, 모든 카드가 동률일 경우 타일이 누적됩니다.
3. 게임 종료: 15라운드 후 포인트를 합산해 가장 높은 점수를 가진 플레이어가 승리합니다.
4. 2인 전용 규칙: 카드를 섞어 일부 카드를 제거하고, 남은 카드로 게임을 진행합니다."
레지스탕스 아발론,"추리, 블러핑",선과 악의 세력 간에 임무를 수행하며 서로를 속이는 추리 게임,5-10명,"1. 임무 선정: 대표자가 원정대 구성원을 선발하며 투표로 임무를 인가합니다.
2. 임무 수행: 원정대원들은 임무 성공 또는 실패를 선택하고, 성공을 위해 선의 세력은 성공 카드만 사용해야 합니다.
3. 게임 종료: 임무가 세 번 성공하면 선의 세력이, 세 번 실패하면 악의 세력이 승리합니다."
레지스탕스 아발론,"추리, 블러핑",선과 악의 세력 간에 임무를 수행하며 서로를 속이는 게임,5-10명,"1. 임무 선정: 대표자가 원정대원을 선발하고, 투표로 임무 인가를 결정합니다.
2. 임무 수행: 원정대원들은 임무 성공 또는 실패를 선택하며, 결과에 따라 임무가 성공 또는 실패로 기록됩니다.
3. 멀린 암살: 임무가 세 번 성공하면 악의 세력이 멀린을 암살할 기회를 가집니다.
4. 게임 종료: 임무 세 번의 성공 시 선의 승리, 실패 시 악의 세력이 승리합니다."
사보타지,"협력, 대결",광부와 방해꾼 팀으로 나뉘어 서로의 목표를 방해하며 보물을 찾는 게임,3-10명,"1. 역할 분배: 각 플레이어는 광부 혹은 방해꾼 역할 카드를 받습니다.
2. 굴 탐색: 플레이어들은 굴 카드를 놓아 보물로 가는 길을 만들거나, 상대를 방해하는 행동 카드를 사용합니다.
3. 라운드 종료: 보물에 도달하거나 모든 길이 막히면 라운드가 종료되며, 금을 얻습니다.
4. 게임 종료: 세 라운드 후 가장 많은 금을 얻은 플레이어가 승리합니다."
세븐 원더스,"전략, 카드",고대 문명을 발전시키고 점수를 획득하는 전략 게임,3-7명,"세븐 원더스는 세 개의 시대에 걸쳐 진행되며, 각 플레이어는 문명을 발전시키고 건물과 불가사의를 건설합니다.
1. 준비: 각 플레이어는 자신의 문명을 선택하고, 초기 자원과 카드를 받습니다.
2. 카드 선택: 각 시대마다 플레이어는 손에 있는 카드를 선택해 건설하거나, 자원을 구매하고, 상대와의 무역을 통해 필요한 자원을 충족시킵니다.
3. 건설: 건설할 수 있는 카드는 건물이나 불가사의로, 각 카드에는 필요한 자원이 있으며 이를 충족하면 건설 가능합니다.
4. 승리 조건: 게임이 끝나면 군사력, 과학, 문화, 불가사의 점수를 합산해 가장 높은 점수를 얻은 플레이어가 승리합니다."
세븐 원더스 듀얼,"전략, 듀얼",고대 문명을 배경으로 한 1:1 대결 전략 게임,2명,"세븐 원더스 듀얼은 세 시대 동안 진행되며, 각각의 시대에 건물과 불가사의를 선택해 도시를 발전시키는 게임입니다.
1. 준비: 각 플레이어는 4장의 불가사의를 선택하고, 시대별 카드 덱을 준비합니다.
2. 카드 선택 및 건설: 각 턴마다 플레이어는 열려 있는 카드 중 하나를 선택해 건설하거나 버립니다. 자원을 사용하여 건물을 건설하고, 군사와 과학을 발전시켜 상대를 압도합니다.
3. 승리 조건: 군사, 과학, 시민 승리 조건을 달성하거나, 마지막까지 점수를 합산해 승패를 결정합니다."
